CSDUID,Unnamed: 0,Geography,Unnamed: 2,graph2_cwbwiz,graph2_education,graph2_housing,graph2_income,graph2_jobs,graph_cwb,graph_education,graph_housing,graph_income,graph_jobs,year,lat,lon,pop,log_std
1309038,372,Neguac ,VL,3,3,2,3,3,3,3,1,4,4,2006,47.26000574134721,-65.07724676333866,1678.0,36.196490850876685
1309050,373,Miramichi ,C,2,2,3,3,3,2,1,4,3,3,2006,47.01954492521999,-65.50730192624034,17811.0,76.58392671878303
1310001,374,New Maryland ,P,1,1,2,1,1,1,1,1,1,1,2006,45.68816961358787,-66.83524088415697,2466.0,42.77885597852637
1310002,375,New Maryland ,VL,1,1,2,1,1,1,1,2,1,1,2006,45.88709760145458,-66.67984732148848,4232.0,52.01271043371475
1310004,376,Manners Sutton ,P,1,2,1,1,2,1,1,1,1,3,2006,45.64174486058017,-67.06124190298833,1806.0,37.45334372780531
1310005,377,Harvey ,VL,2,2,4,3,1,2,2,4,4,1,2006,45.728600862949975,-67.00564988661381,363.0,15.0
1310006,378,McAdam ,VL,4,4,3,4,3,4,4,4,4,3,2006,45.592009640516515,-67.31345423365248,1284.0,31.620874799617336
1310008,379,North Lake ,P,1,1,1,1,3,1,1,1,1,3,2006,45.75883709344003,-67.66737125041264,243.0,15.0
1310011,380,Canterbury ,P,2,2,2,2,3,2,2,2,2,4,2006,45.87547964816014,-67.50882603143417,609.0,18.867716792318546
1310012,381,Canterbury ,VL,2,2,2,3,2,1,2,1,3,2,2006,45.892611163733974,-67.46786102034336,331.0,15.0
1310014,382,Dumfries ,P,2,2,2,1,3,1,1,1,1,3,2006,45.87536550209679,-67.21324875433575,373.0,15.0
1310016,383,Prince William ,P,2,2,1,2,2,1,2,1,2,2,2006,45.785395728225915,-67.11035996735656,895.0,25.45026407216513
1310018,384,Kingsclear ,P,1,1,2,1,1,1,1,2,1,1,2006,45.879687232044056,-66.86940104765713,7391.0,61.54595643379726
1310021,385,Queensbury ,P,2,2,4,2,2,2,1,4,2,2,2006,45.99185441118528,-67.06316622900778,1272.0,31.460335748267287
1310024,386,Southampton ,P,3,3,1,2,3,3,3,1,2,3,2006,46.078690150056474,-67.31239950593304,1538.0,34.70698002261238
1310025,387,Millville ,VL,2,2,2,4,2,2,2,2,4,2,2006,46.132112958899725,-67.19631245851055,307.0,15.0
1310026,388,Bright ,P,2,2,2,2,2,1,1,2,1,2,2006,46.12073041396755,-67.05496167146406,3068.0,46.51338957178232
1310028,389,Douglas ,P,1,2,2,1,1,1,1,2,1,1,2006,46.28189375924272,-66.94202624856516,6081.0,58.210380956416316
1310031,390,Saint Marys ,P,1,2,3,1,1,1,2,2,1,1,2006,46.17488454517024,-66.48990716708865,4733.0,53.925632396500056
1310032,391,Fredericton ,CY,1,1,3,3,2,1,1,3,3,1,2006,45.95517675693153,-66.64362779662362,56224.0,96.23772355933419
1310036,392,Stanley ,P,4,3,2,3,4,4,4,2,4,4,2006,46.54259823746678,-66.7355869705698,903.0,25.602409978080683
1310037,393,Stanley ,VL,3,2,3,2,4,3,1,3,2,4,2006,46.28411584199855,-66.73180879735223,419.0,15.0
1310054,394,Nackawic ,T,3,2,2,3,3,3,2,1,4,3,2006,45.99799184777594,-67.2384582978297,1049.0,28.16478077383668
1311001,395,Richmond ,P,2,3,3,2,2,2,3,2,1,1,2006,46.07788017912999,-67.72481404154807,1358.0,32.57888386623712
1311004,396,Woodstock ,P,2,2,3,2,1,1,2,3,2,1,2006,46.06090369728699,-67.59846499525588,2165.0,40.55318218368917
1311006,397,Woodstock ,TV,2,1,3,3,2,2,1,3,4,1,2006,46.15079974395073,-67.59298298254691,5254.0,55.71110922541121
1311008,398,Northampton ,P,2,2,4,2,1,2,2,4,2,1,2006,46.13102767844629,-67.47122309499342,1825.0,37.632275894502506
1311011,399,Brighton ,P,3,3,3,2,2,3,3,4,2,2,2006,46.33160252913225,-67.35851383095635,1764.0,37.05103614620192
1311012,400,Hartland ,T,1,2,2,2,1,1,1,1,2,1,2006,46.29856379799385,-67.50287472845609,947.0,26.415839559355447
1311014,401,Wakefield ,P,2,2,2,2,1,1,2,1,1,1,2006,46.240764920446246,-67.62481730566658,2814.0,45.03586072740075
1311018,402,Wilmot ,P,2,3,2,2,2,2,3,2,2,1,2006,46.34616401184349,-67.70998428915594,1085.0,28.741688551455567
1311019,403,Centreville ,VL,2,2,3,3,2,1,1,3,3,1,2006,46.43032133474199,-67.70937407293718,542.0,16.874989670737833
1311021,404,Simonds ,P,1,2,2,1,1,1,1,2,1,1,2006,46.3620965204163,-67.60428420856017,565.0,17.585548145510558
1311023,405,Florenceville ,VL,1,1,3,1,1,1,1,2,1,1,2006,,,860.0,24.768230716552083
1311024,406,Peel ,P,3,3,4,2,2,3,3,4,2,1,2006,46.4057498767894,-67.52779187388703,1223.0,30.788692767616222
1311026,407,Aberdeen ,P,2,2,2,2,2,2,2,2,2,2,2006,46.50715534226651,-67.2809310934312,981.0,27.01891829907272
1311028,408,Kent ,P,2,3,2,2,2,2,3,2,2,2,2006,46.62214140816917,-67.29552606463696,2242.0,41.15069741297033
1311029,409,Bristol ,VL,1,2,1,2,2,1,2,1,2,1,2006,,,679.0,20.727950116512496
1311030,410,Bath ,VL,3,3,2,4,3,3,3,2,4,3,2006,46.50923974233144,-67.58709810431753,532.0,16.556595304697737
1311031,411,Wicklow ,P,2,2,2,2,1,1,2,2,1,1,2006,46.501654079127086,-67.70669539033584,1738.0,36.79715976986232
1312001,412,Andover ,P,3,3,3,3,2,3,3,3,3,2,2006,46.701567322319484,-67.75292953771459,942.0,26.3253296425783
1312002,413,Aroostook ,VL,2,1,2,3,3,2,1,2,3,3,2006,46.80528142490548,-67.72569286002994,351.0,15.0
1312004,414,Perth ,P,2,1,2,2,3,2,1,1,3,4,2006,46.709700026817536,-67.60350962320977,1096.0,28.91415229428705
1312006,415,Perth-Andover ,VL,2,1,2,4,3,2,1,2,4,3,2006,46.73951281075651,-67.7100668813614,1778.0,37.18619324017264
1312008,416,Gordon ,P,3,3,2,3,3,3,3,2,3,3,2006,46.8360439717397,-67.19148186106719,1567.0,35.026358853517834
1312009,417,Plaster Rock ,VL,2,2,1,4,3,2,2,1,4,3,2006,46.90410343251488,-67.39509548427864,1135.0,29.51196671255465
1312011,418,Lorne ,P,4,4,3,4,4,4,4,2,4,4,2006,47.12316194036966,-67.14273274528375,518.0,16.10064072786937
1312014,419,Denmark ,P,4,3,3,3,3,4,4,3,4,3,2006,47.11548712693388,-67.47712390984078,1592.0,35.2969767752807
1312016,420,Grand Falls ,P,2,2,2,3,2,2,2,2,3,1,2006,46.9172994001402,-67.74515939514744,1172.0,30.060431152837147
1312019,421,Grand Falls / Grand-Sault ,TV,3,2,3,3,2,3,2,3,4,1,2006,47.04646856287302,-67.75577917658445,5706.0,57.12212342637475
1312021,422,Drummond ,P,3,3,3,2,2,3,3,3,2,2,2006,47.308238617301335,-67.56737447500453,2250.0,41.21159608234462
1312023,423,Drummond ,VL,3,3,4,2,1,3,3,4,2,1,2006,47.03689456784922,-67.68009122177594,775.0,22.98892738232201
1313001,424,Saint-André ,P,2,3,3,3,1,2,3,3,3,1,2006,47.139218460849435,-67.74441783322308,1134.0,29.49689638689787
1313003,425,St. André ,VL,2,2,4,2,2,2,2,4,3,1,2006,,,404.0,15.0
1313004,426,Saint-Léonard ,P,2,3,1,2,2,2,3,1,2,2,2006,47.249814332306805,-67.79703609823521,1052.0,28.213606937483654
1313006,427,St. Leonard ,T,4,3,4,4,3,4,3,4,4,3,2006,47.17149536850866,-67.92004724861654,1343.0,32.38898243208341
1313008,428,Notre-Dame-de-Lourdes ,P,2,3,1,1,2,2,4,1,1,3,2006,47.36019186288827,-67.82086469476654,263.0,15.0
1313011,429,Sainte-Anne ,P,4,4,3,3,3,4,4,4,3,3,2006,47.40387962022307,-67.88171550034112,949.0,26.45190979077337
1313012,430,Sainte-Anne-de-Madawaska ,VL,4,3,4,4,3,4,4,4,4,3,2006,47.254011841132915,-68.02263161690756,1002.0,27.381052815764324
1313014,431,Rivière-Verte ,VL,3,3,4,3,2,4,4,4,4,2,2006,47.3243398748284,-68.14426820325416,744.0,22.290982175071278
1313015,432,Rivière-Verte ,P,4,4,3,4,3,4,4,4,4,3,2006,47.50668537702394,-68.00397088201817,686.0,20.903308406056716
1313018,433,Saint-Basile ,P,2,2,3,2,2,2,2,3,2,2,2006,47.42337705132029,-68.18475805513913,717.0,21.658977775150493
1313022,434,Saint-Joseph ,P,3,3,3,2,2,3,3,4,2,1,2006,47.557813385727485,-68.30801650896515,2171.0,40.60049941873516
1313024,435,Saint-Jacques ,P,2,3,3,2,2,2,3,3,1,2,2006,47.563304320500414,-68.36916834774995,1599.0,35.37198848034539
1313027,436,Edmundston ,CY,2,2,3,3,2,2,1,3,4,2,2006,47.37794247723135,-68.32180166072511,16032.0,74.7847878146628
1313032,437,Saint-Hilaire ,P,2,2,4,1,2,2,1,4,1,2,2006,47.326451079464334,-68.43703863271273,290.0,15.0
1313035,438,Baker Brook ,VL,3,2,4,3,2,3,2,4,3,2,2006,47.30916775580476,-68.50081875849601,585.0,18.180296228890864
1313036,439,Lac-Baker ,P,1,1,2,1,2,1,1,1,1,2,2006,47.33947116897602,-68.6906627831674,,15.0
1313038,440,Clair ,P,1,2,1,1,2,1,1,1,1,1,2006,47.2901610856007,-68.64373975403095,297.0,15.0
1313039,441,Clair ,VL,3,2,3,4,2,3,2,3,4,2,2006,47.26474128759782,-68.62078963611063,857.0,24.708484761692443
